,Content_ID,Reaction_Type,Datetime,Content_Type,Category,Sentiment,Score,,,,,,,,,,
521,f98dde71-ce1d-4f6c-bb05-ae05779d2207,adore,18-11-2020 08:02,GIF,soccer,positive,72,,,,,,,,,,
522,f98dde71-ce1d-4f6c-bb05-ae05779d2207,adore,25-05-2021 14:14,GIF,soccer,positive,72,,,,,,,,,,
534,388bd9db-9d10-4f47-87c4-6db46e83bc95,adore,15-04-2021 17:03,video,education,positive,72,,,,,,,,,,
556,78d0075f-895c-4a15-a35c-a921e2bb2cea,adore,02-05-2021 01:43,photo,studying,positive,72,,,,,,,,,,
560,78d0075f-895c-4a15-a35c-a921e2bb2cea,adore,06-07-2020 18:54,photo,studying,positive,72,,,,,,,,,,
569,78d0075f-895c-4a15-a35c-a921e2bb2cea,adore,11-05-2021 02:06,photo,studying,positive,72,,,,,,,,,,
596,78d0075f-895c-4a15-a35c-a921e2bb2cea,adore,08-06-2021 23:06,photo,studying,positive,72,,,,,,,,,,
611,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,adore,27-09-2020 17:24,photo,travel,positive,72,,,,,,,,,,
615,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,adore,03-04-2021 17:52,photo,travel,positive,72,,,,,,,,,,
616,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,adore,16-01-2021 05:14,photo,travel,positive,72,,,,,,,,,,
628,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,adore,12-10-2020 17:18,GIF,food,positive,72,,,,,,,,,,
631,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,adore,22-11-2020 17:16,GIF,food,positive,72,,,,,,,,,,
637,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,adore,20-07-2020 08:19,GIF,food,positive,72,,,,,,,,,,
644,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,adore,30-11-2020 06:20,GIF,food,positive,72,,,,,,,,,,
662,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,adore,14-04-2021 15:46,audio,dogs,positive,72,,,,,,,,,,
670,34a3747a-0b77-42f6-ae19-87c38b94b674,adore,02-07-2020 11:39,GIF,science,positive,72,,,,,,,,,,
675,34a3747a-0b77-42f6-ae19-87c38b94b674,adore,15-04-2021 14:51,GIF,science,positive,72,,,,,,,,,,
678,34a3747a-0b77-42f6-ae19-87c38b94b674,adore,13-05-2021 03:52,GIF,science,positive,72,,,,,,,,,,
700,34a3747a-0b77-42f6-ae19-87c38b94b674,adore,29-04-2021 09:59,GIF,science,positive,72,,,,,,,,,,
708,34a3747a-0b77-42f6-ae19-87c38b94b674,adore,14-01-2021 09:05,GIF,science,positive,72,,,,,,,,,,
712,2920dccb-e06f-49fc-8049-b6d4164dfe84,adore,23-02-2021 01:14,GIF,veganism,positive,72,,,,,,,,,,
739,2920dccb-e06f-49fc-8049-b6d4164dfe84,adore,26-11-2020 18:31,GIF,veganism,positive,72,,,,,,,,,,
751,2920dccb-e06f-49fc-8049-b6d4164dfe84,adore,14-02-2021 11:57,GIF,veganism,positive,72,,,,,,,,,,
753,f4e3840e-bb71-40c2-afc5-9408d842646d,adore,09-12-2020 23:38,photo,healthy eating,positive,72,,,,,,,,,,
756,f4e3840e-bb71-40c2-afc5-9408d842646d,adore,05-07-2020 19:22,photo,healthy eating,positive,72,,,,,,,,,,
769,f4e3840e-bb71-40c2-afc5-9408d842646d,adore,19-03-2021 21:35,photo,healthy eating,positive,72,,,,,,,,,,
777,f4e3840e-bb71-40c2-afc5-9408d842646d,adore,02-04-2021 19:50,photo,healthy eating,positive,72,,,,,,,,,,
789,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,adore,09-10-2020 04:55,video,food,positive,72,,,,,,,,,,
820,74718bbf-e5a3-442f-8ca2-4a3428757fc1,adore,21-09-2020 12:23,video,dogs,positive,72,,,,,,,,,,
832,74718bbf-e5a3-442f-8ca2-4a3428757fc1,adore,24-06-2020 21:45,video,dogs,positive,72,,,,,,,,,,
845,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,adore,10-03-2021 18:08,video,cooking,positive,72,,,,,,,,,,
848,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,adore,04-05-2021 21:19,video,cooking,positive,72,,,,,,,,,,
865,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,adore,04-10-2020 22:03,video,cooking,positive,72,,,,,,,,,,
918,07f88a73-aef2-45fd-8b5d-418e448b853d,adore,12-02-2021 16:37,GIF,animals,positive,72,,,,,,,,,,
925,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,adore,16-02-2021 12:11,photo,technology,positive,72,,,,,,,,,,
929,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,adore,04-11-2020 14:40,photo,technology,positive,72,,,,,,,,,,
935,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,adore,04-08-2020 11:20,photo,technology,positive,72,,,,,,,,,,
940,457301ee-3e87-40d8-8b82-ea4e1fa90e39,adore,27-10-2020 21:57,GIF,healthy eating,positive,72,,,,,,,,,,
954,457301ee-3e87-40d8-8b82-ea4e1fa90e39,adore,23-12-2020 12:51,GIF,healthy eating,positive,72,,,,,,,,,,
962,457301ee-3e87-40d8-8b82-ea4e1fa90e39,adore,25-07-2020 18:29,GIF,healthy eating,positive,72,,,,,,,,,,
968,457301ee-3e87-40d8-8b82-ea4e1fa90e39,adore,28-11-2020 06:12,GIF,healthy eating,positive,72,,,,,,,,,,
969,457301ee-3e87-40d8-8b82-ea4e1fa90e39,adore,20-04-2021 02:53,GIF,healthy eating,positive,72,,,,,,,,,,
982,457301ee-3e87-40d8-8b82-ea4e1fa90e39,adore,13-05-2021 08:45,GIF,healthy eating,positive,72,,,,,,,,,,
993,4fa14453-7b29-4302-b51f-9aa23b472c1b,adore,06-09-2020 09:22,audio,animals,positive,72,,,,,,,,,,
1018,ab4c4756-1c50-4136-bad9-3216e01ffac2,adore,14-10-2020 21:00,audio,fitness,positive,72,,,,,,,,,,
1028,ab4c4756-1c50-4136-bad9-3216e01ffac2,adore,23-04-2021 02:50,audio,fitness,positive,72,,,,,,,,,,
1032,ab4c4756-1c50-4136-bad9-3216e01ffac2,adore,23-04-2021 05:13,audio,fitness,positive,72,,,,,,,,,,
1036,ab4c4756-1c50-4136-bad9-3216e01ffac2,adore,05-10-2020 10:25,audio,fitness,positive,72,,,,,,,,,,
1051,34f73132-fff6-4f01-a5ec-4b4b66461fc7,adore,27-04-2021 04:18,photo,fitness,positive,72,,,,,,,,,,
1072,34f73132-fff6-4f01-a5ec-4b4b66461fc7,adore,26-08-2020 23:17,photo,fitness,positive,72,,,,,,,,,,
1073,34f73132-fff6-4f01-a5ec-4b4b66461fc7,adore,27-05-2021 17:18,photo,fitness,positive,72,,,,,,,,,,
1097,bfa4e11c-9d72-49b9-bd43-49d95c2e5181,adore,25-03-2021 13:52,photo,veganism,positive,72,,,,,,,,,,
1115,220d9dc1-f8a5-422d-b200-3819f3b89b2b,adore,18-07-2020 20:13,video,dogs,positive,72,,,,,,,,,,
1130,220d9dc1-f8a5-422d-b200-3819f3b89b2b,adore,19-02-2021 18:18,video,dogs,positive,72,,,,,,,,,,
1147,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,adore,12-04-2021 00:20,GIF,healthy eating,positive,72,,,,,,,,,,
1150,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,adore,27-04-2021 07:04,GIF,healthy eating,positive,72,,,,,,,,,,
1152,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,adore,19-01-2021 19:31,GIF,healthy eating,positive,72,,,,,,,,,,
1167,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,adore,10-08-2020 17:57,GIF,healthy eating,positive,72,,,,,,,,,,
1186,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,adore,27-10-2020 22:45,GIF,studying,positive,72,,,,,,,,,,
1216,259cd56f-b017-4a41-81a7-f26ce9b35092,adore,06-05-2021 09:35,video,culture,positive,72,,,,,,,,,,
1228,259cd56f-b017-4a41-81a7-f26ce9b35092,adore,09-04-2021 03:19,video,culture,positive,72,,,,,,,,,,
1229,259cd56f-b017-4a41-81a7-f26ce9b35092,adore,12-03-2021 14:08,video,culture,positive,72,,,,,,,,,,
1250,c01fa154-5348-4040-9d20-0bbf01f6349b,adore,01-12-2020 12:42,GIF,tennis,positive,72,,,,,,,,,,
1316,50c9237a-541c-4f10-a2be-7cbe076b2012,adore,13-10-2020 19:10,GIF,travel,positive,72,,,,,,,,,,
1337,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,adore,09-10-2020 09:46,video,science,positive,72,,,,,,,,,,
1378,e442899c-d2d6-4392-be2d-a0b916ae47fb,adore,26-05-2021 20:48,video,technology,positive,72,,,,,,,,,,
1404,82145a60-013e-4d96-81a5-399af8618158,adore,29-12-2020 06:36,audio,food,positive,72,,,,,,,,,,
1405,82145a60-013e-4d96-81a5-399af8618158,adore,29-07-2020 15:09,audio,food,positive,72,,,,,,,,,,
1410,82145a60-013e-4d96-81a5-399af8618158,adore,21-01-2021 15:37,audio,food,positive,72,,,,,,,,,,
1440,d852b946-01e1-44fe-abd7-26198660cbdb,adore,08-11-2020 01:04,GIF,food,positive,72,,,,,,,,,,
1448,c59e27e9-0439-4699-8ea0-5e93f662a05d,adore,02-02-2021 15:29,GIF,fitness,positive,72,,,,,,,,,,
1461,78713905-362f-4a87-9671-adab5f1e0e67,adore,10-09-2020 05:43,audio,dogs,positive,72,,,,,,,,,,
1464,78713905-362f-4a87-9671-adab5f1e0e67,adore,10-02-2021 00:11,audio,dogs,positive,72,,,,,,,,,,
1473,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,adore,11-10-2020 19:59,GIF,healthy eating,positive,72,,,,,,,,,,
1486,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,adore,22-06-2020 13:05,GIF,healthy eating,positive,72,,,,,,,,,,
1517,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,adore,17-11-2020 22:30,video,culture,positive,72,,,,,,,,,,
1522,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,adore,21-11-2020 19:43,video,culture,positive,72,,,,,,,,,,
1575,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,adore,16-06-2021 08:16,GIF,soccer,positive,72,,,,,,,,,,
1602,026973ef-4b73-4901-9160-bc9e04516057,adore,14-10-2020 07:33,audio,culture,positive,72,,,,,,,,,,
1607,026973ef-4b73-4901-9160-bc9e04516057,adore,20-10-2020 13:38,audio,culture,positive,72,,,,,,,,,,
1611,026973ef-4b73-4901-9160-bc9e04516057,adore,07-06-2021 07:05,audio,culture,positive,72,,,,,,,,,,
1633,f08bdab2-b888-484e-8fd9-919e6ed86c12,adore,31-10-2020 19:23,audio,education,positive,72,,,,,,,,,,
1658,f08bdab2-b888-484e-8fd9-919e6ed86c12,adore,25-02-2021 17:02,audio,education,positive,72,,,,,,,,,,
1664,f08bdab2-b888-484e-8fd9-919e6ed86c12,adore,07-02-2021 15:53,audio,education,positive,72,,,,,,,,,,
1667,f08bdab2-b888-484e-8fd9-919e6ed86c12,adore,09-12-2020 12:23,audio,education,positive,72,,,,,,,,,,
1669,a55b215b-06c5-4ef3-ac14-7e1569c3ad2e,adore,24-02-2021 15:42,GIF,education,positive,72,,,,,,,,,,
1672,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,12-03-2021 22:52,photo,education,positive,72,,,,,,,,,,
1677,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,27-07-2020 03:21,photo,education,positive,72,,,,,,,,,,
1681,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,29-04-2021 07:44,photo,education,positive,72,,,,,,,,,,
1682,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,25-05-2021 03:50,photo,education,positive,72,,,,,,,,,,
1697,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,11-07-2020 23:08,photo,education,positive,72,,,,,,,,,,
1707,258bb775-3c35-4eec-90f3-8b75a52e466a,adore,18-09-2020 16:25,photo,education,positive,72,,,,,,,,,,
1753,8d32243c-2dd1-4128-bde1-d643207e582c,adore,28-02-2021 09:29,photo,studying,positive,72,,,,,,,,,,
1771,e2c433d2-096e-484e-8c69-28f0bb69f3b7,adore,06-08-2020 14:12,audio,science,positive,72,,,,,,,,,,
1772,e2c433d2-096e-484e-8c69-28f0bb69f3b7,adore,18-11-2020 00:41,audio,science,positive,72,,,,,,,,,,
1775,e2c433d2-096e-484e-8c69-28f0bb69f3b7,adore,09-02-2021 03:59,audio,science,positive,72,,,,,,,,,,
1776,e2c433d2-096e-484e-8c69-28f0bb69f3b7,adore,25-12-2020 00:06,audio,science,positive,72,,,,,,,,,,
1803,3d8fffab-6107-4d7b-9485-c610e233c91c,adore,21-10-2020 22:49,photo,studying,positive,72,,,,,,,,,,
1812,3d8fffab-6107-4d7b-9485-c610e233c91c,adore,29-09-2020 20:29,photo,studying,positive,72,,,,,,,,,,
1815,3d8fffab-6107-4d7b-9485-c610e233c91c,adore,20-11-2020 18:04,photo,studying,positive,72,,,,,,,,,,
1828,3d8fffab-6107-4d7b-9485-c610e233c91c,adore,28-08-2020 05:33,photo,studying,positive,72,,,,,,,,,,
1832,409aa11d-5af3-4a70-9da1-482857f5835e,adore,10-06-2021 10:27,GIF,fitness,positive,72,,,,,,,,,,
1840,409aa11d-5af3-4a70-9da1-482857f5835e,adore,08-05-2021 00:06,GIF,fitness,positive,72,,,,,,,,,,
1848,409aa11d-5af3-4a70-9da1-482857f5835e,adore,08-10-2020 21:21,GIF,fitness,positive,72,,,,,,,,,,
1852,409aa11d-5af3-4a70-9da1-482857f5835e,adore,16-01-2021 20:13,GIF,fitness,positive,72,,,,,,,,,,
1865,409aa11d-5af3-4a70-9da1-482857f5835e,adore,30-10-2020 19:28,GIF,fitness,positive,72,,,,,,,,,,
1870,aa9ea032-0fea-42c3-88d9-666685d4b32b,adore,30-09-2020 07:16,GIF,veganism,positive,72,,,,,,,,,,
1886,eaddee3e-3a23-47cd-9785-ab7f2120a293,adore,15-01-2021 05:04,video,science,positive,72,,,,,,,,,,
1899,eaddee3e-3a23-47cd-9785-ab7f2120a293,adore,21-08-2020 07:30,video,science,positive,72,,,,,,,,,,
1905,9ef39aa2-60f9-4e4b-b666-c6cb97015503,adore,22-10-2020 11:01,GIF,travel,positive,72,,,,,,,,,,
1919,9ef39aa2-60f9-4e4b-b666-c6cb97015503,adore,24-02-2021 00:38,GIF,travel,positive,72,,,,,,,,,,
1920,9ef39aa2-60f9-4e4b-b666-c6cb97015503,adore,09-07-2020 01:48,GIF,travel,positive,72,,,,,,,,,,
1941,9ef39aa2-60f9-4e4b-b666-c6cb97015503,adore,18-04-2021 19:32,GIF,travel,positive,72,,,,,,,,,,
1949,841403fd-321b-4118-90b3-cc0075d64047,adore,14-05-2021 23:34,GIF,studying,positive,72,,,,,,,,,,
2009,3724de8a-ec2f-4021-a3f1-605d551da9d0,adore,06-10-2020 23:09,video,culture,positive,72,,,,,,,,,,
2030,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,adore,07-10-2020 22:28,photo,science,positive,72,,,,,,,,,,
2047,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,adore,07-03-2021 23:08,photo,science,positive,72,,,,,,,,,,
2068,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,adore,14-03-2021 04:41,photo,science,positive,72,,,,,,,,,,
2098,359b93ea-446f-4202-8801-db238de5de4d,adore,30-07-2020 21:13,photo,food,positive,72,,,,,,,,,,
2104,359b93ea-446f-4202-8801-db238de5de4d,adore,23-11-2020 01:09,photo,food,positive,72,,,,,,,,,,
2113,359b93ea-446f-4202-8801-db238de5de4d,adore,11-07-2020 02:30,photo,food,positive,72,,,,,,,,,,
2114,359b93ea-446f-4202-8801-db238de5de4d,adore,31-12-2020 22:12,photo,food,positive,72,,,,,,,,,,
2129,0adb9a94-210a-4e84-bca1-13db9452ff0e,adore,04-06-2021 07:13,video,healthy eating,positive,72,,,,,,,,,,
2140,0adb9a94-210a-4e84-bca1-13db9452ff0e,adore,06-07-2020 01:07,video,healthy eating,positive,72,,,,,,,,,,
2159,3c510b35-43e2-4e84-a805-86c5ebddc4cf,adore,15-05-2021 08:23,audio,studying,positive,72,,,,,,,,,,
2164,3c510b35-43e2-4e84-a805-86c5ebddc4cf,adore,10-08-2020 16:13,audio,studying,positive,72,,,,,,,,,,
2168,3c510b35-43e2-4e84-a805-86c5ebddc4cf,adore,19-03-2021 22:07,audio,studying,positive,72,,,,,,,,,,
2182,86346263-02db-4020-a216-9e54f502f643,adore,13-09-2020 06:34,GIF,travel,positive,72,,,,,,,,,,
2183,86346263-02db-4020-a216-9e54f502f643,adore,29-05-2021 13:39,GIF,travel,positive,72,,,,,,,,,,
2193,86346263-02db-4020-a216-9e54f502f643,adore,08-03-2021 01:12,GIF,travel,positive,72,,,,,,,,,,
2214,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,adore,11-09-2020 13:59,GIF,fitness,positive,72,,,,,,,,,,
2239,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,adore,15-01-2021 08:41,photo,studying,positive,72,,,,,,,,,,
2248,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,adore,22-07-2020 19:09,photo,studying,positive,72,,,,,,,,,,
2271,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,adore,26-04-2021 20:11,video,dogs,positive,72,,,,,,,,,,
2277,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,adore,08-11-2020 18:19,video,dogs,positive,72,,,,,,,,,,
2296,9d94f180-947c-40f5-aa05-f1958759b7fc,adore,03-09-2020 00:18,video,science,positive,72,,,,,,,,,,
2350,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,adore,31-12-2020 04:28,GIF,culture,positive,72,,,,,,,,,,
2358,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,adore,04-02-2021 14:22,GIF,culture,positive,72,,,,,,,,,,
2421,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,adore,13-12-2020 07:16,photo,culture,positive,72,,,,,,,,,,
2442,1de2f0f9-61ab-43fb-9180-6870824c63c0,adore,14-07-2020 13:01,GIF,science,positive,72,,,,,,,,,,
2456,c2d6e707-f00e-4fa4-a193-eb36272f58df,adore,12-01-2021 22:19,GIF,veganism,positive,72,,,,,,,,,,
2458,c2d6e707-f00e-4fa4-a193-eb36272f58df,adore,30-09-2020 20:36,GIF,veganism,positive,72,,,,,,,,,,
2478,af7971aa-5fd5-41d3-b6c3-583704a705a2,adore,16-01-2021 07:14,video,healthy eating,positive,72,,,,,,,,,,
2496,af7971aa-5fd5-41d3-b6c3-583704a705a2,adore,13-04-2021 00:20,video,healthy eating,positive,72,,,,,,,,,,
2503,af7971aa-5fd5-41d3-b6c3-583704a705a2,adore,26-11-2020 19:07,video,healthy eating,positive,72,,,,,,,,,,
2504,af7971aa-5fd5-41d3-b6c3-583704a705a2,adore,28-07-2020 08:16,video,healthy eating,positive,72,,,,,,,,,,
2507,af7971aa-5fd5-41d3-b6c3-583704a705a2,adore,29-06-2020 20:24,video,healthy eating,positive,72,,,,,,,,,,
2508,af7971aa-5fd5-41d3-b6c3-583704a705a2,adore,21-05-2021 19:19,video,healthy eating,positive,72,,,,,,,,,,
2572,c8b044a9-8427-4b41-bc61-7b549ab1626c,adore,04-03-2021 23:25,photo,studying,positive,72,,,,,,,,,,
2581,cd568dd1-70cf-45d6-b495-10eebff8c920,adore,08-09-2020 05:31,photo,dogs,positive,72,,,,,,,,,,
2587,cd568dd1-70cf-45d6-b495-10eebff8c920,adore,09-01-2021 23:59,photo,dogs,positive,72,,,,,,,,,,
2599,cd568dd1-70cf-45d6-b495-10eebff8c920,adore,29-01-2021 12:46,photo,dogs,positive,72,,,,,,,,,,
2617,cd568dd1-70cf-45d6-b495-10eebff8c920,adore,12-11-2020 13:17,photo,dogs,positive,72,,,,,,,,,,
2621,cd568dd1-70cf-45d6-b495-10eebff8c920,adore,13-06-2021 09:28,photo,dogs,positive,72,,,,,,,,,,
2649,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,adore,27-02-2021 00:05,photo,travel,positive,72,,,,,,,,,,
2666,ef99fd68-74fb-4c72-bc70-742ebca14499,adore,29-07-2020 02:23,video,soccer,positive,72,,,,,,,,,,
2680,ef99fd68-74fb-4c72-bc70-742ebca14499,adore,27-12-2020 16:19,video,soccer,positive,72,,,,,,,,,,
2683,ef99fd68-74fb-4c72-bc70-742ebca14499,adore,15-11-2020 18:52,video,soccer,positive,72,,,,,,,,,,
2702,62681a6c-fe82-4186-ba7d-0805ae5b95ed,adore,12-02-2021 22:19,audio,veganism,positive,72,,,,,,,,,,
2778,67f2a150-6086-4cbd-8d21-46250ccef5a2,adore,13-11-2020 18:20,GIF,cooking,positive,72,,,,,,,,,,
2795,65545cfb-59bb-4dc1-a38b-82f268210da2,adore,30-01-2021 23:00,audio,technology,positive,72,,,,,,,,,,
2803,65545cfb-59bb-4dc1-a38b-82f268210da2,adore,12-08-2020 07:36,audio,technology,positive,72,,,,,,,,,,
2812,65545cfb-59bb-4dc1-a38b-82f268210da2,adore,26-07-2020 11:45,audio,technology,positive,72,,,,,,,,,,
2820,65545cfb-59bb-4dc1-a38b-82f268210da2,adore,09-12-2020 15:42,audio,technology,positive,72,,,,,,,,,,
2834,433607b3-eeb4-48b8-9263-9805c1b89d55,adore,01-06-2021 03:13,video,education,positive,72,,,,,,,,,,
2838,433607b3-eeb4-48b8-9263-9805c1b89d55,adore,17-11-2020 20:03,video,education,positive,72,,,,,,,,,,
2843,433607b3-eeb4-48b8-9263-9805c1b89d55,adore,30-03-2021 13:42,video,education,positive,72,,,,,,,,,,
2861,1000371f-7758-4c44-a1bc-41fd836b0bcb,adore,14-01-2021 07:15,audio,studying,positive,72,,,,,,,,,,
2873,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,adore,03-12-2020 15:40,video,studying,positive,72,,,,,,,,,,
2905,8e3896e3-2f84-4b47-9365-fb562c9ed730,adore,07-08-2020 14:21,video,public speaking,positive,72,,,,,,,,,,
2916,8e3896e3-2f84-4b47-9365-fb562c9ed730,adore,03-01-2021 15:52,video,public speaking,positive,72,,,,,,,,,,
2921,8e3896e3-2f84-4b47-9365-fb562c9ed730,adore,21-09-2020 04:11,video,public speaking,positive,72,,,,,,,,,,
2967,de9796a6-d19d-4c41-a965-7aa4dcc69fee,adore,09-06-2021 09:17,audio,technology,positive,72,,,,,,,,,,
2968,de9796a6-d19d-4c41-a965-7aa4dcc69fee,adore,14-09-2020 20:45,audio,technology,positive,72,,,,,,,,,,
2972,de9796a6-d19d-4c41-a965-7aa4dcc69fee,adore,19-11-2020 09:35,audio,technology,positive,72,,,,,,,,,,
3015,391a9aa4-c04a-431e-8366-712d92267c2b,adore,02-03-2021 18:49,video,public speaking,positive,72,,,,,,,,,,
3024,391a9aa4-c04a-431e-8366-712d92267c2b,adore,21-04-2021 09:32,video,public speaking,positive,72,,,,,,,,,,
3075,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,adore,20-12-2020 13:55,photo,food,positive,72,,,,,,,,,,
3093,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,adore,11-11-2020 11:37,photo,food,positive,72,,,,,,,,,,
3105,c7066a17-2e12-49d2-bb9e-c8967051f490,adore,01-10-2020 22:28,GIF,public speaking,positive,72,,,,,,,,,,
3116,c7066a17-2e12-49d2-bb9e-c8967051f490,adore,23-10-2020 06:04,GIF,public speaking,positive,72,,,,,,,,,,
3123,c7066a17-2e12-49d2-bb9e-c8967051f490,adore,29-09-2020 11:05,GIF,public speaking,positive,72,,,,,,,,,,
3149,f01ec49c-3179-43bb-b127-2b1a73f34b06,adore,11-02-2021 19:20,photo,animals,positive,72,,,,,,,,,,
